,Unnamed: 0,product_id,date_posted,review_title,review_text,scores,compound,sentiment
10,10,59337,2023-10-24,Lovely lotion,"I love Desert Essence brand lotions. The consistency is good not too thin, not too thick. I live in the desert so daily lotion is a must. I  decided to try this new scent and am happy. Lemon scent is refreshing and light. I recommend.","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.9231}",0.9231,pos
11,11,59337,2024-04-10,Nice lotion,Nice lotion but doesn't retain moisture. I like the scent and will keep it as a spare in my car as I can't stand to have dry hands. ,"{'neg': 0.097, 'neu': 0.834, 'pos': 0.069, 'compound': -0.1938}",-0.1938,neg
12,12,59337,2023-10-12,Grama C,"Been using this for years, other scents. Really like the fresh lemon scent, non greasy, but keeps your skin hydrated all day, even in the summer! Good bang for your buck, and perfect size! Great quality.
The bottle sits on the cap, so it's easy to get all the lotion out.

","{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.9752}",0.9752,pos
13,13,59337,2023-06-10,,"This product has a pleasant scent. There is a good amount of the product. It seems to have good moisturizing ability, however, I found it to be a bit tacky for longer than I like to be tacky ;). It is humid. I found it much more pleasant than the body butter from another seller.","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.9451}",0.9451,pos
14,14,59337,2024-09-22,lovely lemon!,"love this brand.  no palm oil.  feels great, super moisturizing & thick.  makes me want a lemon pie lol.","{'neg': 0.075, 'neu': 0.373, 'pos': 0.553, 'compound': 0.9337}",0.9337,pos
15,15,59337,2024-07-26,とても素晴らしい！,"A good additive, excellent packaging, as well as a nice price, I recommend buying","{'neg': 0.0, 'neu': 0.3, 'pos': 0.7, 'compound': 0.9186}",0.9186,pos
16,16,59337,2024-07-25,Good,"Good sweet smell and vey moisturizing lotion,
I like this brand.
","{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.8126}",0.8126,pos
17,17,59337,2024-06-01,,"The desert essence products are so good and this is no different. It smells so lemony, I love it, will buy it again.","{'neg': 0.075, 'neu': 0.646, 'pos': 0.279, 'compound': 0.7917}",0.7917,pos
18,18,59337,2024-04-29,Wonderful body lotion,light but very moisturizing and I like the fresh lemon scents. ,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.7647}",0.7647,pos
19,19,59337,2024-03-22,,"I didn't like the scent, easy to use, size 237 ml, ","{'neg': 0.162, 'neu': 0.615, 'pos': 0.223, 'compound': 0.1999}",0.1999,pos
20,20,59337,2024-03-14,Great product!,I absolutely love the lemony scent... size convenient for my extended travels.,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.6697}",0.6697,pos
21,21,59337,2024-02-15,Excellent Lotion,I love the mild citrus smell and it goes away leaving skin very moisturized and great feeling,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.8768}",0.8768,pos
22,22,59337,2024-01-07,Goody,"Nice scent and good composition, as always. I like this company's cremes to use during winter months, they really moisturize well.","{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.8617}",0.8617,pos
23,23,59337,2024-01-06,,I like the scent and the texture and the ingredients.,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.3612,pos
24,24,59337,2024-01-04,Love this brand!,"Very nice delicate scent. Not oily or greasy. It’s a very good moisturizer for dry, uncomfortable hands.","{'neg': 0.116, 'neu': 0.537, 'pos': 0.347, 'compound': 0.6327}",0.6327,pos
25,25,59337,2023-12-20,,"great lotion, good the quality of the product, nice moisturizer","{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.8689}",0.8689,pos
26,26,59337,2023-11-28,,"excellent product,good and strong packaging , the quality matches the description, I will still recommend ordering to everyone!!! okay
","{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.9057}",0.9057,pos
27,27,59337,2023-11-12,nice lotion,"Pretty strong fragrance, so only buy if you like lemon :) Seems gentle on skin. ","{'neg': 0.0, 'neu': 0.402, 'pos': 0.598, 'compound': 0.9313}",0.9313,pos
28,28,59337,2024-07-03,,"It’s a good lotion, it’s hydrating and has a good lightweight texture, but I’m not a fan of this scent 😕","{'neg': 0.12, 'neu': 0.688, 'pos': 0.192, 'compound': 0.1172}",0.1172,pos
29,29,59337,2024-05-29,,"Love the the packaging. Easy to bring anywhere. Creamy and smooth, not sticky.  Smell great too!","{'neg': 0.139, 'neu': 0.549, 'pos': 0.312, 'compound': 0.6246}",0.6246,pos
30,30,59337,2024-05-25,Beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful Beautiful beautiful beautiful beautiful beautiful ,Beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful Beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.9978}",0.9978,pos
31,31,59337,2024-04-19,Amazing,"I love the scent its very suitable for summer, high quality and lasts a while because of its size","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6369}",0.6369,pos
32,32,59337,2024-03-12,,Highly recommended for keeping skin moisturized and hydrated. Good composition body lotion. ,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6115}",0.6115,pos
33,33,59337,2023-08-31,Smells Nice,The lemon scent is nice but not strong enough for me. I will add a little lemon oil to it to see if will bring out more of a lemony scent.  The texture of the lotion is thick enough for me. I like it.,"{'neg': 0.078, 'neu': 0.81, 'pos': 0.113, 'compound': 0.1523}",0.1523,pos
34,34,59337,2023-10-06,Clean lemon scent,The fresh lemon scent is strong right out of the tube but not so  much once applied to the skin. I love that it's rich and really moisturizes dry skin but at the same time not too greasy.,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9382}",0.9382,pos
35,35,59337,2023-10-02,Love it!,"At first I thought that smell is going to be very strong, but turned out that it is so good! If you will buy this you will be smelling as a lemon pie. Also I think that dessert essence has the best body lotions!","{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.9412}",0.9412,pos
36,36,59337,2023-09-04,,My kids call this lemon cake lotion. It smells so fresh like real lemon.  One of my favorite scents.  And love that it’s non gmo ,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.9181}",0.9181,pos
37,37,59337,2023-09-01,,"A very nice hand and body lotion. Rich yet not sticky and has a wonderful lemony scent. Vegan and natural, couldn’t ask for more for its price. ","{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.9466}",0.9466,pos
38,38,59337,2023-08-10,,"bought this delicious scent hand moisturize body and hand lotion that has a great texture its a great benefit for any age.
the size is great and i love the package ","{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.9843}",0.9843,pos
39,39,59337,2023-08-03,,"I love the scent of this lotion; it smells like lemon cookies. And as always, Desert  Essence lotion is creamy and soaks in; leaving my skin feeling soft. ","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.802}",0.802,pos
40,40,59337,2023-06-12,Perfect!,"The smell of lemon peel oil makes this one pleasant on the skin… like the fact that they use Jojoba Oil, Coconut Oil & Shea Butter… skin feels revitalized…","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7003}",0.7003,pos
41,41,59337,2023-05-27,lemony lotion,"desert essence has got to be my favorite lotion makers. i was eager to try a new scent after loving the coconut version. this didn’t disappoint. lovely notes of lemon peel and sweet cream, thick but not too much so, hydrating and soothing for dry hands. ","{'neg': 0.035, 'neu': 0.701, 'pos': 0.264, 'compound': 0.8778}",0.8778,pos
42,42,59337,2023-04-18,,I use it during summer season it works really good on my sensitive skin and the texture of this is pretty thick so it’s instance moisturize I like the scent and also the size is nice ,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.8932}",0.8932,pos
43,43,59337,2022-10-26,,"Lovely fresh lemon scent (not artificial smelling). Very thick and a bit soapy which is fine for me as I have really dry skin, but might not suit everyone.","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5346}",0.5346,pos
44,44,59337,2024-05-21,meh,This smelled great in the tube but unfortunately seemed to change about a minute after application ,"{'neg': 0.166, 'neu': 0.697, 'pos': 0.137, 'compound': -0.1406}",-0.1406,neg
45,45,59337,2022-08-07,,"Great lotion, very smooth texture and has a very nice scent. The package size is a bit big for hand cream, but it is also a body lotion. High quality, I really enjoy this lotion and use it a lot.","{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.8869}",0.8869,pos
46,46,59337,2023-07-30,,daily use. nice scent. size as Described. package comfortable. moisture the skin with nice texture. ,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.836}",0.836,pos
47,47,59337,2023-02-24,,Awesome product and natural. Nice scent. The smell derived from an organic source. Daily use. Away from harmful chemical. ,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.8555}",0.8555,pos
48,48,59337,2022-04-22,,"This is an ok moisturizer for me. Moisturises well, doesn’t irritate my skin or cause body acne. It absorbs reasonably well, and the texture is so-so, not too heavy but not the lightest either. The fragrance is kinda artificial lemon, though thankfully not as bad as the cleaning products lemon smell. It also doesn’t linger, which is great. Finished it but not going to repurchase cause having a lightweight texture is a must for me and sadly this doesn’t really meet that criteria.","{'neg': 0.058, 'neu': 0.757, 'pos': 0.185, 'compound': 0.9047}",0.9047,pos
49,49,59337,2022-05-13,,"Great lotion, very smooth texture and has a very nice scent. The package size is a bit big for hand cream, but it is also a body lotion. High quality, I really enjoy this lotion and use it a lot. ","{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.8869}",0.8869,pos
50,50,59337,2023-11-28,Good scent,We used to buy this brand all the time. But we recently discovered that they put Aluminum in their lotions. So we quit buying it. I would research the health risks of Aluminum. Even small amounts accumulate.,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.3919}",-0.3919,neg
51,51,59337,2023-10-04,Прекрасно!,"A good additive, excellent packaging, as well as a nice price, I recommend buying","{'neg': 0.0, 'neu': 0.3, 'pos': 0.7, 'compound': 0.9186}",0.9186,pos
52,52,59337,2023-09-30,good,"smells good, I use it as hand cream only so it lasts for a very long time","{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.7269}",0.7269,pos
53,53,59337,2023-09-25,,"I love this product.
Very good quality.Highly recommend.I will buy more.","{'neg': 0.0, 'neu': 0.52, 'pos': 0.48, 'compound': 0.8122}",0.8122,pos
54,54,59337,2023-09-04,,Got it for my friend. She loves the smell and good size ,"{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.8689}",0.8689,pos
55,55,59337,2023-08-15,Lotion,"Very fresh and citrusy scent, lovely lotion that is easy to apply.","{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.8516}",0.8516,pos
56,56,59337,2023-07-30,,Best product comes always on time! Best service from iherb ,"{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.8655}",0.8655,pos
57,57,59337,2023-07-18,מצוין!,Great size great price I’m using everyday on my hands,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.8481}",0.8481,pos
58,58,59337,2023-07-11,,"Citrusy scent, good deal. I wish there is a pump with it, but it’s great to take it with you on trips. ","{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.8573}",0.8573,pos
59,59,59337,2023-06-28,,Great lotion with good smell. The package size is quite big.,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.7906}",0.7906,pos
60,60,59337,2023-05-01,,I love Desert Essence brand.  This has a nice clean scent and is very moisturizing. ,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.8658}",0.8658,pos
61,61,59337,2023-04-23,,Smells natural and not artificial.   Non-greasy feel.  Better than more expensive brands.,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.6597}",0.6597,pos
62,62,59337,2023-03-14,,I bought several of these in different fragrances and like them all,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.3612,pos
63,63,59337,2023-03-10,Excellent! Perfect feel and moisturization,"I love the feel and level of moisture of this lemon lotion. Plus, the ingredients are healthful and very ideal-free of suspicious ingredients. ","{'neg': 0.102, 'neu': 0.742, 'pos': 0.156, 'compound': 0.3477}",0.3477,pos
64,64,59337,2023-01-05,,"Great product, I will definitely buy it again when I need it","{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.7783}",0.7783,pos
65,65,59337,2022-11-27,,Great cream with fresh scent. Texture is pleasant. I use it both for the hands and body.,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.8658}",0.8658,pos
66,66,59337,2022-10-28,최고!,"How good it is that there are such products for iherb, I put 10\10 to him.","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,pos
67,67,59337,2022-08-05,,I have been wanting to try this particular scent of this lotion forever; it seems like its being phased out or just not being carried in Canada for some reason. It smells very nice! ,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.7082}",0.7082,pos
68,68,59337,2022-07-26,,"After using the lavender lotion of the desert essence. I decided to try the lemon scent. And it smells great. And just like the lavender, it leaves my skin feeling moisturized. Love it!","{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.9117}",0.9117,pos
69,69,59337,2022-03-20,,The scent of lemon in this lotion is terrific. It isnt overpowering and it feels good on skin as a moisturizer. I have sensitive skin and this lotion doesnt irritate.,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.8091}",0.8091,pos
70,70,59337,2023-07-17,,"Makes my skin smooth and smooth, the smell lasts more","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
71,71,59337,2023-04-25,,"Effective body moisturiser, perfume is fresh and plant but strong. ","{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.7992}",0.7992,pos
72,72,59337,2022-02-20,Nice smell,"I am a big fan of lemon scent so I really liked the smell of this lotion. However for my skin it wasn’t good, i noticed that after applying lotion - after some time my skin was getting itchy, not sure why. Guess that’s individual reaction of my skin so cant blame the product.","{'neg': 0.07, 'neu': 0.742, 'pos': 0.188, 'compound': 0.7798}",0.7798,pos
73,73,59337,2021-08-23,Excellent for dry skin,"I decided to try another smell of Desert Essence lotion and lemon was great decision! The smell is like real lemin, not artificial chemical one. Good for dry skin, after using it you can feel lemon for a couple of hours. Not too thick, absorbs quickly, vegan. And colorful tube always cheers me up! ","{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.9214}",0.9214,pos
74,74,59337,2016-11-01,Lovely refreshing lemon smell!,"Love the smell of this, it smells very natural and isn't overwhelming. I work in healthcare and have to wash my hands frequently, they can get really dry.  I've tried a lot of hand creams, while other hand creams feel watery and do little for my hands, the Desert Essence hand and body lotion absorbs really well into my skin and I'm left with lovely soft hands. This and the Desert Essence Sweet Almond lotion are my favourite. I will keep using this and will re-order when I run out.","{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.9771}",0.9771,pos
75,75,59337,2015-06-03,"Great Lotion, Lighter Scent than other Dessert Essence","I love Desert Essence lotions, but most of the varieties are made with either Japanese honeysuckle extract or too heavily scented for my nose.  The Italian Lemon has no JHE and contains a 100% essential oil-based scent.  It smells lovely as you rub it in, but it's not something I smell on my skin all day long.  The lotion itself is fantastic - very moisturizing, but not heavy on the skin.","{'neg': 0.036, 'neu': 0.803, 'pos': 0.162, 'compound': 0.8979}",0.8979,pos
76,76,59337,2021-02-27,Just buy it!,"I love this lotion. The density/thickness is just right, not too liquid and not heavy. And the smell is amazing! Not like fake chemical lemon candy, but real lemons. Maybe just a little bit sticky (perfect for body, but I wipe my hands before touching my phone). Will purchase again. ","{'neg': 0.03, 'neu': 0.833, 'pos': 0.137, 'compound': 0.672}",0.672,pos
77,77,59337,2018-09-21,"Lively, citrus-scented body lotion. ","My hunt for the perfect lotion is over! I've tried many different brands of natural, non-toxic lotions and this one is hands down my favorite so far. The lotion is rich but not too greasy, it provides skin with necessary moisture. Absorbs quickly, without oily residue. Leaves skin smooth and nourished and really moisturizes my dry skin especially during the winter months. I loved the fresh lemon smell when I'm applying it but I also love the fact that the scent is mild and does not linger. The tube is convenient to pack or throw in my gym bag, which is another plus compared to lotions with pumps. I also sometimes order the unscented one, but this is a great fresh scent for summer.  ","{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.9854}",0.9854,pos
78,78,59337,2023-07-29,the smell was not great ,I usually love lemon smell but this didn't do it for me it was too sweet ,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.765}",0.765,pos
79,79,59337,2022-09-19,"Great Scent, Tacky Feel ","It's a beautiful lemon scent but it does feel pretty tacky on the skin. If you sleep without the air-conditioner switched on and live in a tropical climate like I do, it could get uncomfortable. ","{'neg': 0.082, 'neu': 0.676, 'pos': 0.242, 'compound': 0.765}",0.765,pos
80,80,59337,2021-03-29,Wonderfully Creamy,"This feels like a high quality ingredient filled cream not lotion because lotion has a bit more water. Leaves my hands with a silky overlayer. The lemon fragrance is very nice but like most fragrances dissipates within minutes... but while it lasts it's  dreamy.
I wish they made this in a 4oz purse size.","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.8624}",0.8624,pos
81,81,59337,2022-01-16,Smells nice,Not too greasy and it smells great.  The lemon isn't overwhelming and it fades fast.  ,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6249}",0.6249,pos
82,82,59337,2021-12-26,Sweet Lemon,I only wish this came in a large pump container. Love the fragrance and the deep emollients in this lotion.,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.7845}",0.7845,pos
83,83,59337,2021-12-04,,This brand has a range of great creams at reasonable prices. Tried this as rose was out of stock - smells great ,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.8481}",0.8481,pos
84,84,59337,2021-10-28,,"this is my first time try lime variant.
usually i buy coconut variant.
","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
85,85,59337,2021-01-25,,Great moisturizer for my dry skin! I like that it gets soaked in completely without any residue. The smell is quite strong while applying but gets better in a minute.,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.867}",0.867,pos
86,86,59337,2020-10-05,🍋Love It,"I bought the ‘Italian Lemon’ type of lotion and I’m impressed from this item.🍋
It moisturise the skin very well and leave it with a lemony and citrusy smell  that stay on the skin for a long time!
","{'neg': 0.037, 'neu': 0.815, 'pos': 0.147, 'compound': 0.651}",0.651,pos
87,87,59337,2021-10-31,,nice thick lotion that has a nice lemon cookie smell .,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.6808}",0.6808,pos
88,88,59337,2023-09-20,,I didn’t like it and it’s smells bad ,"{'neg': 0.318, 'neu': 0.455, 'pos': 0.227, 'compound': -0.25}",-0.25,neg
89,89,59337,2021-09-21,,"Great smell, a very light cream, absorbs well., but not heavy enough for over dry hands.  Smell does not linger very long which is a bit disappointing.   But overall a good cream.","{'neg': 0.117, 'neu': 0.708, 'pos': 0.174, 'compound': 0.2732}",0.2732,pos
90,90,59337,2021-08-27,It’s okay,"Great texture, light yet stays on the skin all the day like you had just put it on. 4 stars just because i did not like the scent very much, other then that it is really good!","{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9115}",0.9115,pos
91,91,59337,2021-07-05,Perfect for summer,"Good cream with a pleasant refreshing smell - fits perfectly for summertime. A little bit dense, not so easy to apply. Next time I would like to try other types of Desert Essence, too.","{'neg': 0.074, 'neu': 0.611, 'pos': 0.315, 'compound': 0.8712}",0.8712,pos
92,92,59337,2020-12-13,Excellent lotion,"We use it like hand lotion. Very nice smell of lemon, well absorbed without any stickiness after, superb!","{'neg': 0.0, 'neu': 0.46, 'pos': 0.54, 'compound': 0.9358}",0.9358,pos
93,93,59337,2019-08-20,Really fresh lemon smell,"Lovely moisturisor, not greasy, the smell is so clean and like the juice and peel of a real lemon.","{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.8766}",0.8766,pos
94,94,59337,2022-08-21,,nice scent. easy to use  ,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.6908}",0.6908,pos
95,95,59337,2022-08-08,,refreshing n clean ingredients... love it,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.7845}",0.7845,pos
96,96,59337,2022-05-14,,love the scent of lemon feels so refereshing,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,pos
97,97,59337,2022-03-01,,"Good product quality , size and price","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,pos
98,98,59337,2022-02-27,,"not greasy, works well, pleasant smell","{'neg': 0.199, 'neu': 0.439, 'pos': 0.362, 'compound': 0.3582}",0.3582,pos
99,99,59337,2022-02-25,,LOVE. The lemon scent is divine. ,"{'neg': 0.0, 'neu': 0.319, 'pos': 0.681, 'compound': 0.8602}",0.8602,pos
100,100,59337,2022-02-20,,"great scent
good size
use it for my hands
","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7906}",0.7906,pos
101,101,59337,2021-11-02,,Really smells like lemon my mum loves it’,"{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.7564}",0.7564,pos
102,102,59337,2021-09-05,まあ良い,"Lemons. It's just lemon. It's so lemony that I don't care how it feels. It's just a natural scent, so it's great. It's a refreshing cream, and it's good for mid-summer.","{'neg': 0.072, 'neu': 0.659, 'pos': 0.269, 'compound': 0.7992}",0.7992,pos
103,103,59337,2021-04-07,אישור,"I hoped for stronger smell of lemon, but it’s very mild. Using it as a hand cream. It’s nice but don’t last long. The hands are soft but it feels still dry.","{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.891}",0.891,pos
104,104,59337,2021-09-10,,The citrus smell of lemon is refreshing! The texture of the cream is rich and yet not oily.  Keeps the skin moisturised . ,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.5983}",0.5983,pos
105,105,59337,2021-03-16,,love the fresh lemon smell! And the texture is rich!,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.893}",0.893,pos
106,106,59337,2020-05-12,Addicted to lemon,My dad is addicted to lemon lotion and soap. He this product. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
107,107,59337,2020-01-15,Nice lotion. Will buy again,"I like the smell very much. When it is absorbed it is also very pleasant on skin, it just takes some time to absorb.","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.7264}",0.7264,pos
108,108,59337,2019-06-17,Dries out my skin.,"Juicy delicious lemon scent. But this is so extremely drying to my skin, it makes it drier than using no lotion at all and leaves a strange tacky dry feeling residue. I ended up using it as a cleanser. Its actually more drying to my skin than most of my foaming cleansers and I always need tons of lotion afterward.","{'neg': 0.082, 'neu': 0.851, 'pos': 0.067, 'compound': -0.2263}",-0.2263,neg
109,109,59337,2022-07-01,,"Perfect scent
Big size
Good package","{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.765}",0.765,pos
110,110,59337,2022-09-25,,This lotion has a bad smell mixed with the lemon scent.,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
111,111,59337,2021-10-15,,"I like their products, but this one has a scent I can't use.","{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.1901}",0.1901,pos
112,112,59337,2021-08-30,,"didn't like the smell, there's something after the lemon that's just plain unpleasant. i don't feel like it's really that moisturizing tbh.
also after a while it separated and leaked over everything so i threw it out.","{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.8234}",-0.8234,neg
113,113,59337,2020-07-03,Bad Smell,"First it soOo yummy and fresh smell , but after that it’s going bad smell , I couldn’t used it , coz I give it 3 chance to be sure about the smell , unfortunately bad smell ","{'neg': 0.281, 'neu': 0.512, 'pos': 0.207, 'compound': -0.743}",-0.743,neg
114,114,59337,2015-03-27,works well,Very rich and smells nice.,"{'neg': 0.0, 'neu': 0.31, 'pos': 0.69, 'compound': 0.7713}",0.7713,pos
115,115,59337,2015-01-29,Awesome !,Love the smell ! I'm crazy about this lotion !,"{'neg': 0.182, 'neu': 0.455, 'pos': 0.363, 'compound': 0.5242}",0.5242,pos
